match_id,radiant_win,first_blood_time,dire_score,radiant_score,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,throw,comeback,loss,win
3616214571,False,168,21,19,63,0,1824,1536,,4115,,
3616300576,False,132,37,19,63,15,1972,1568,,220,,
3616383122,True,151,17,21,48,63,1536,1975,1465,,17457,
3616461072,False,141,19,13,63,0,1982,1536,,0,,
3616514538,True,62,21,34,3,63,4,1972,0,,17214,
3616571379,False,194,28,20,63,0,2036,512,,692,,
3616622623,True,35,9,28,48,63,1792,1854,0,,15891,
3616664521,False,54,19,13,63,0,2020,1536,,263,,
3616712080,False,7,21,27,56,0,1536,0,,4930,,
3618204345,True,9,16,27,0,63,0,1828,2140,,14519,
3618313643,True,323,8,29,0,63,0,1975,1877,,27340,
3618354768,False,175,29,12,63,0,1846,0,,3182,,
3620078284,False,106,25,22,63,0,1956,512,,2641,,
3620201501,True,88,10,25,48,63,896,1982,170,,19403,
3620299194,False,88,27,8,63,51,1982,1796,,110,,
3620675836,True,45,17,33,0,63,0,1854,421,,22700,
3620742450,True,170,19,29,0,63,1536,1982,443,,16189,
3620796674,True,20,33,48,3,63,6,1844,10033,,7803,
3622490608,True,97,8,25,15,63,1540,1974,946,,15196,
3622599446,True,0,18,31,0,12,1536,1072,-48,,13946,
3622722921,True,103,19,30,0,63,0,1828,4821,,5204,
3622880958,False,106,34,18,63,2,2044,1536,,994,,
3622964324,True,56,11,24,32,63,1536,1983,246,,30394,
3623062792,True,107,14,21,3,63,518,1844,4583,,11209,
3623123807,False,262,36,11,63,0,1956,512,,755,,
3623193404,True,80,9,31,51,63,1924,1846,2528,,16447,
3624843844,False,0,24,14,63,0,1952,1536,,-288,,
3624958444,False,0,36,23,63,1,2038,1536,,833,,
3625065137,True,312,10,30,48,63,1536,1854,111,,24831,
3625160730,True,157,12,27,3,63,518,1972,2973,,16588,
3625232006,True,0,16,16,51,63,390,1572,4481,,3902,
3625315335,False,0,32,15,63,0,2044,1536,,354,,
3625366950,False,109,26,20,13,19,1568,1540,,15046,,
3625422067,False,135,34,24,63,0,1972,512,,142,,
3625490002,False,44,30,18,63,0,2046,1024,,0,,
3660362209,True,92,33,33,49,63,768,1830,6080,,11896,
3660378428,False,193,16,9,63,15,1982,1588,,298,,
3660451515,False,168,30,15,51,0,1796,1536,,9972,,
3660475817,False,83,38,21,63,0,1958,512,,496,,
3660560361,False,56,28,11,63,0,1974,1024,,1427,,
3660612899,False,82,44,31,63,0,2022,0,,3550,,
3660651721,False,9,27,20,63,15,2039,1572,,666,,
3660720013,True,142,10,35,2,63,1536,1980,497,,17274,
3660724526,False,255,33,17,63,3,1974,1542,,79,,
3660803130,False,161,33,29,63,0,1956,0,,940,,
3662259479,False,60,36,7,63,59,2038,1796,,395,,
3662371483,False,130,26,7,63,0,1854,1536,,36,,
3662517281,True,153,16,26,63,63,256,1572,2502,,6070,
3662626622,False,61,20,13,63,3,1828,1542,,4609,,
3662702352,True,0,32,39,0,63,0,1830,513,,18606,
3662819539,True,320,19,34,0,63,1536,1974,1930,,25124,
3662885812,True,28,10,27,48,63,1920,1846,443,,15750,
3664284504,True,256,12,31,51,63,1796,1854,0,,13555,
3664386030,True,113,12,29,51,63,774,1854,0,,16947,
3664563145,False,91,30,18,63,3,1846,1536,,3186,,
3664688423,False,97,26,21,63,0,1972,1536,,3867,,
3664912288,True,125,20,37,19,63,516,1974,228,,17247,
3664972517,False,57,45,25,63,0,1828,1536,,1323,,
3666543344,True,194,30,22,0,63,1536,1828,12012,,12715,
3666647813,True,73,23,33,2,63,1536,1974,2573,,21484,
3666744360,False,280,25,11,63,50,2046,1792,,271,,
3666821068,False,74,37,36,35,15,516,52,,17626,,
3666921836,False,146,23,11,63,0,1974,512,,388,,
3694561853,False,148,27,3,63,51,1982,1796,,438,,
3694593671,True,76,11,25,48,63,1792,1854,0,,21818,
3694623523,False,40,36,21,63,14,1972,1568,,0,,
3694672680,True,209,16,24,59,63,1796,1828,201,,10343,
3694695589,False,17,33,5,63,15,1976,1540,,0,,
3694760597,False,133,33,14,63,3,2038,1540,,649,,
3694775908,True,0,19,29,2,63,1536,1968,341,,13473,
3694837394,False,1,25,10,63,63,2046,1847,,100,,
3694856512,True,300,23,26,48,63,1536,1847,0,,10223,
3694904506,True,201,14,26,51,63,6,1844,4341,,12498,
3694940772,True,219,5,18,60,63,1824,1975,0,,17051,
3695005031,True,46,12,33,1,63,1536,1982,0,,19603,
3695009268,False,42,24,11,63,58,1846,1792,,0,,
3695087532,True,57,24,39,15,63,1540,1983,666,,36447,
3695119172,False,4,26,18,63,0,2038,1536,,0,,
3695226002,True,0,11,28,3,63,1540,1828,522,,15788,
3695231259,True,141,21,37,51,63,256,1975,764,,20843,
3696227516,False,19,37,20,63,51,2038,1796,,0,,
3696233055,True,179,13,38,0,63,512,1844,1922,,12728,
3696286347,True,36,4,18,51,63,1924,1983,0,,16809,
3696306464,False,140,24,12,63,56,1982,1792,,107,,
3696337562,True,134,21,34,51,63,260,1796,8732,,6590,
3696361086,False,174,20,12,63,0,2046,1536,,0,,
3696416896,False,27,26,14,63,15,2036,1574,,1006,,
3696424993,False,101,37,14,63,0,1588,1536,,2205,,
3696501908,True,142,24,32,34,63,1536,1854,2614,,15275,
3696537358,False,80,20,9,63,56,2038,1792,,679,,
3696594852,False,3,32,26,63,40,1828,0,,2574,,
3696618477,False,145,50,53,48,0,0,0,,17399,,
3696703002,True,0,16,23,48,63,1792,1846,490,,14544,
3696802285,False,114,29,23,63,0,1824,1536,,6746,,
3697932209,False,88,27,19,63,0,1958,1536,,205,,
3697932551,True,89,17,33,50,63,768,1572,1133,,16410,
3698002964,False,72,31,8,63,0,1844,1536,,4,,
3698009748,True,58,22,32,49,63,1920,1846,0,,26586,
3698067186,True,51,13,38,59,63,1540,1974,0,,13041,
3698091718,False,124,31,14,63,59,1972,1796,,227,,
3698141876,True,0,31,28,48,0,256,1536,8516,,4227,
3698163097,False,211,23,7,63,56,1846,1792,,0,,
3698238849,False,65,35,23,31,3,1574,1540,,1039,,
3698247222,False,51,29,10,63,47,1974,1572,,914,,
3698322743,False,76,19,10,63,4,1974,1536,,1093,,
3698342712,True,373,8,31,48,63,1920,1588,4182,,15761,
3698403352,True,321,2,16,63,63,1828,1855,1011,,12168,
3698427295,True,397,37,33,0,63,0,1846,198,,15287,
3698556611,False,86,36,19,63,0,1828,1536,,46,,
3699841826,True,217,6,16,63,63,1828,1846,1938,,2953,
3699928943,True,76,10,37,11,63,1540,1854,456,,21212,
3700059851,True,98,28,31,1,63,0,1983,0,,15073,
3700150918,False,167,20,12,63,63,1844,1572,,1209,,
3701815840,False,60,33,13,63,0,2036,0,,0,,
3701923243,False,144,30,37,3,51,512,390,,19100,,
3702089496,False,268,25,5,63,3,1982,1540,,574,,
3702177241,True,0,8,40,0,15,512,1591,-354,,24284,
3703866531,True,87,15,36,63,63,1956,1974,857,,9640,
